old.sample.code,new.sample.code
EM135c3-Neg,EM135c3-Neg
Tbio-RTERRA-1-I-R1,Tbio-RTERRA-1-I-R1
Tbio-RTERRA-1-I-R2,Tbio-RTERRA-1-I-R2
Tbio-RTERRA-1-I-R3,Tbio-RTERRA-1-I-R3
Tbio-RTERRA-1-CF-R1,Tbio-RTERRA-1-CF-R1
Tbio-RTERRA-1-CF-R2,Tbio-RTERRA-1-CF-R2
Tbio-RTERRA-1-CF-R3,Tbio-RTERRA-1-CF-R3
Tbio-RTERRA-1-R-R1,Tbio-RTERRA-1-R-R1
Tbio-RTERRA-1-R-R2,Tbio-RTERRA-1-R-R2
Tbio-RTERRA-1-R-R3,Tbio-RTERRA-1-R-R3
Tbio-RTERRA-2-I-R1,Tbio-RTERRA-2-I-R1
Tbio-RTERRA-2-I-R2,Tbio-RTERRA-2-I-R2
Tbio-RTERRA-2-I-R3,Tbio-RTERRA-2-I-R3
Tbio-RTERRA-2-CF-R1,Tbio-RTERRA-2-CF-R1
Tbio-RTERRA-2-CF-R2,Tbio-RTERRA-2-CF-R2
Tbio-RTERRA-2-CF-R3,Tbio-RTERRA-2-CF-R3
Tbio-RTERRA-2-R-R1,Tbio-RTERRA-2-R-R1
Tbio-RTERRA-2-R-R2,Tbio-RTERRA-2-R-R2
Tbio-RTERRA-2-R-R3,Tbio-RTERRA-2-R-R3
Tbio-RTERRA-3-IA-R1,Tbio-RTERRA-3-I-R1
Tbio-RTERRA-3-IA-R2,Tbio-RTERRA-3-I-R2
Tbio-RTERRA-3-IA-R3,Tbio-RTERRA-3-I-R3
Tbio-RTERRA-3-IB-R1,Tbio-RTERRA-3-I-R4
Tbio-RTERRA-3-IB-R2,Tbio-RTERRA-3-I-R5
Tbio-RTERRA-3-IB-R3,Tbio-RTERRA-3-I-R6
Tbio-RTERRA-3-CF-R1,Tbio-RTERRA-3-CF-R1
Tbio-RTERRA-3-CF-R2,Tbio-RTERRA-3-CF-R2
Tbio-RTERRA-3-CF-R3,Tbio-RTERRA-3-CF-R3
Tbio-RTERRA-3-R-R1,Tbio-RTERRA-3-R-R1
Tbio-RTERRA-3-R-R2,Tbio-RTERRA-3-R-R2
Tbio-RTERRA-3-R-R3,Tbio-RTERRA-3-R-R3
Tbio-RTERRA-3-CF2-R1,Tbio-RTERRA-3-CF-R4
Tbio-RTERRA-3-CF2-R2,Tbio-RTERRA-3-CF-R5
Tbio-RTERRA-3-CF2-R3,Tbio-RTERRA-3-CF-R6
Tbio-RTERRA-4-I-R1,Tbio-RTERRA-4-I-R1
Tbio-RTERRA-4-I-R2,Tbio-RTERRA-4-I-R2
Tbio-RTERRA-4-I-R3,Tbio-RTERRA-4-I-R3
Tbio-RTERRA-4-CF-R1,Tbio-RTERRA-4-CF-R1
Tbio-RTERRA-4-CF-R2,Tbio-RTERRA-4-CF-R2
Tbio-RTERRA-4-CF-R3,Tbio-RTERRA-4-CF-R3
Tbio-RTERRA-4-R-R1,Tbio-RTERRA-4-R-R1
Tbio-RTERRA-4-R-R2,Tbio-RTERRA-4-R-R2
Tbio-RTERRA-4-R-R3,Tbio-RTERRA-4-R-R3
Tbio-RTERRA-4-CF2-R1,Tbio-RTERRA-4-CF-R4
Tbio-RTERRA-4-CF2-R2,Tbio-RTERRA-4-CF-R5
Tbio-RTERRA-4-CF2-R3,Tbio-RTERRA-4-CF-R6
Tbio-RTERRA-5-I-R1,Tbio-RTERRA-5-I-R1
Tbio-RTERRA-5-I-R2,Tbio-RTERRA-5-I-R2
Tbio-RTERRA-5-I-R3,Tbio-RTERRA-5-I-R3
Tbio-RTERRA-5-CF-R1,Tbio-RTERRA-5-CF-R1
Tbio-RTERRA-5-CF-R2,Tbio-RTERRA-5-CF-R2
Tbio-RTERRA-5-CF-R3,Tbio-RTERRA-5-CF-R3
Tbio-RTERRA-5-R-R1,Tbio-RTERRA-5-R-R1
Tbio-RTERRA-5-R-R2,Tbio-RTERRA-5-R-R2
Tbio-RTERRA-5-R-R3,Tbio-RTERRA-5-R-R3
